  0.000          0.00000
  0.989         -0.02635
  1.978         -0.10558
  2.967         -0.23819
  3.956         -0.42503
  4.945         -0.66734
  5.934         -0.96679
  6.923         -1.32557
  7.912         -1.74643
  8.901         -2.23287
  9.890         -2.78927
 10.879         -3.42116
 11.868         -4.13557
 12.857         -4.94154
 13.846         -5.85086
 14.835         -6.87925
 15.824         -8.04822
 16.813         -9.38826
 17.802        -10.94446
 18.791        -12.78757
 19.780        -15.03805
 20.769        -17.92694
 21.758        -21.99402
 22.747        -29.12997
 23.736        -43.89838
 24.725        -27.06839
 25.714        -22.08164
 26.703        -19.22044
 27.692        -17.30633
 28.681        -15.94032
 29.670        -14.93864
 30.659        -14.20161
 31.648        -13.66941
 32.637        -13.30359
 33.626        -13.07833
 34.615        -12.97578
 35.604        -12.98352
 36.593        -13.09297
 37.582        -13.29854
 38.571        -13.59709
 39.560        -13.98765
 40.549        -14.47135
 41.538        -15.05163
 42.527        -15.73453
 43.516        -16.52942
 44.505        -17.45009
 45.495        -18.51671
 46.484        -19.75913
 47.473        -21.22294
 48.462        -22.98147
 49.451        -25.16237
 50.440        -28.01666
 51.429        -32.15250
 52.418        -39.88855
 53.407        -48.30418
 54.396        -35.30282
 55.385        -30.51312
 56.374        -27.59468
 57.363        -25.53758
 58.352        -23.98087
 59.341        -22.75322
 60.330        -21.75943
 61.319        -20.94092
 62.308        -20.25892
 63.297        -19.68631
 64.286        -19.20333
 65.275        -18.79500
 66.264        -18.44969
 67.253        -18.15811
 68.242        -17.91267
 69.231        -17.70706
 70.220        -17.53598
 71.209        -17.39484
 72.198        -17.27970
 73.187        -17.18708
 74.176        -17.11388
 75.165        -17.05737
 76.154        -17.01507
 77.143        -16.98475
 78.132        -16.96439
 79.121        -16.95217
 80.110        -16.94643
 81.099        -16.94567
 82.088        -16.94857
 83.077        -16.95392
 84.066        -16.96069
 85.055        -16.96795
 86.044        -16.97494
 87.033        -16.98103
 88.022        -16.98573
 89.011        -16.98869
 90.000        -16.98970
270.989        -16.98869
271.978        -16.98573
272.967        -16.98103
273.956        -16.97494
274.945        -16.96795
275.934        -16.96069
276.923        -16.95392
277.912        -16.94857
278.901        -16.94567
279.890        -16.94643
280.879        -16.95217
281.868        -16.96439
282.857        -16.98475
283.846        -17.01507
284.835        -17.05737
285.824        -17.11388
286.813        -17.18708
287.802        -17.27970
288.791        -17.39484
289.780        -17.53598
290.769        -17.70706
291.758        -17.91267
292.747        -18.15811
293.736        -18.44969
294.725        -18.79500
295.714        -19.20333
296.703        -19.68631
297.692        -20.25892
298.681        -20.94092
299.670        -21.75943
300.659        -22.75322
301.648        -23.98087
302.637        -25.53758
303.626        -27.59468
304.615        -30.51312
305.604        -35.30282
306.593        -48.30418
307.582        -39.88855
308.571        -32.15250
309.560        -28.01666
310.549        -25.16237
311.538        -22.98147
312.527        -21.22294
313.516        -19.75913
314.505        -18.51671
315.495        -17.45009
316.484        -16.52942
317.473        -15.73453
318.462        -15.05163
319.451        -14.47135
320.440        -13.98765
321.429        -13.59709
322.418        -13.29854
323.407        -13.09297
324.396        -12.98352
325.385        -12.97578
326.374        -13.07833
327.363        -13.30359
328.352        -13.66941
329.341        -14.20161
330.330        -14.93864
331.319        -15.94032
332.308        -17.30633
333.297        -19.22044
334.286        -22.08164
335.275        -27.06839
336.264        -43.89838
337.253        -29.12997
338.242        -21.99402
339.231        -17.92694
340.220        -15.03805
341.209        -12.78757
342.198        -10.94446
343.187         -9.38826
344.176         -8.04822
345.165         -6.87925
346.154         -5.85086
347.143         -4.94154
348.132         -4.13557
349.121         -3.42116
350.110         -2.78927
351.099         -2.23287
352.088         -1.74643
353.077         -1.32557
354.066         -0.96679
355.055         -0.66734
356.044         -0.42503
357.033         -0.23819
358.022         -0.10558
359.011         -0.02635
360.000          0.00000
